mod,x
存储模块 （读取）,11.226873441604486
存储模块 （读取）,12.030595204703323
存储模块 （读取）,10.82009820120051
存储模块 （读取）,11.101331924053738
存储模块 （读取）,11.088750300186325
存储模块 （读取）,10.793034860760336
存储模块 （读取）,10.836373666160483
存储模块 （读取）,11.150786068273838
存储模块 （读取）,11.532993268743033
存储模块 （读取）,11.777249534817583
存储模块 （读取）,12.012592818383453
存储模块 （读取）,10.875395216530878
存储模块 （读取）,11.174054161559443
存储模块 （读取）,11.560798355809593
存储模块 （读取）,11.054573194935028
存储模块 （读取）,10.887150745540062
存储模块 （读取）,11.686170924867524
存储模块 （读取）,11.018129925576124
存储模块 （读取）,10.616754254176493
存储模块 （读取）,10.949871868772151
存储模块 （读取）,12.20467343685047
存储模块 （读取）,10.245335313296856
存储模块 （读取）,11.321234361423196
存储模块 （读取）,10.69422851058429
存储模块 （读取）,10.286217555699809
存储模块 （读取）,10.32955833948067
存储模块 （读取）,11.096772274638248
存储模块 （读取）,10.822318450401921
存储模块 （读取）,11.04297156884831
存储模块 （读取）,10.932988360614525
存储模块 （读取）,10.409255441297118
存储模块 （读取）,11.517612812026973
存储模块 （读取）,11.568780372154047
存储模块 （读取）,10.64801811500795
存储模块 （读取）,10.2164049275018
存储模块 （读取）,11.442108984358166
存储模块 （读取）,10.963850258497915
存储模块 （读取）,10.85919594451918
存储模块 （读取）,11.27853164655042
存储模块 （读取）,10.59836418319693
存储模块 （读取）,10.74943834262556
存储模块 （读取）,10.807433102879966
存储模块 （读取）,11.311337523798787
存储模块 （读取）,11.404851359454725
存储模块 （读取）,11.13592487682599
存储模块 （读取）,11.448179676215787
存储模块 （读取）,11.452064650140917
存储模块 （读取）,11.216403642294443
存储模块 （读取）,10.337347817656843
存储模块 （读取）,10.844996030912174
存储模块 （读取）,11.219126772775944
存储模块 （读取）,11.039009139036924
存储模块 （读取）,10.796191449294449
存储模块 （读取）,11.302625645069641
存储模块 （读取）,10.96701534747057
存储模块 （读取）,11.189069923680602
存储模块 （读取）,10.509149467940668
存储模块 （读取）,10.785610431405313
存储模块 （读取）,10.673375630663417
存储模块 （读取）,9.987267242665451
存储模块 （读取）,11.043750521819696
存储模块 （读取）,10.078842049972552
存储模块 （读取）,10.70546789600194
存储模块 （读取）,10.520293069528071
存储模块 （读取）,11.660701693353255
存储模块 （读取）,10.966069727190975
存储模块 （读取）,11.198167000440995
存储模块 （读取）,11.414859655866165
存储模块 （读取）,10.51181694962583
存储模块 （读取）,10.981569242213963
存储模块 （读取）,11.416951500580726
存储模块 （读取）,10.659851035980525
存储模块 （读取）,11.178824166988193
存储模块 （读取）,11.263150386000731
存储模块 （读取）,11.561872127040731
存储模块 （读取）,11.105532958170523
存储模块 （读取）,11.844009740806984
存储模块 （读取）,11.16985435270192
存储模块 （读取）,10.40438033430415
存储模块 （读取）,11.502186253238051
存储模块 （读取）,10.775546369253304
存储模块 （读取）,10.992598604678104
存储模块 （读取）,10.725347993095843
存储模块 （读取）,10.55597514860257
存储模块 （读取）,10.673965217861515
存储模块 （读取）,11.682723432849777
存储模块 （读取）,11.425029289435335
存储模块 （读取）,11.377691816097153
存储模块 （读取）,12.242753642042008
存储模块 （读取）,11.777043129760518
存储模块 （读取）,10.289024172883432
存储模块 （读取）,9.84925741275
存储模块 （读取）,10.906530959237942
存储模块 （读取）,10.266967355715607
存储模块 （读取）,11.190186049039337
存储模块 （读取）,10.079708057004813
存储模块 （读取）,11.861090260594322
存储模块 （读取）,10.832966969283463
存储模块 （读取）,10.276079873426927
存储模块 （读取）,11.242904137460908
存储模块 （读取）,11.751405697805483
存储模块 （读取）,11.25049636739182
存储模块 （读取）,10.821711335139705
存储模块 （读取）,11.474741282530967
存储模块 （读取）,10.48988907735817
存储模块 （读取）,10.962747216881047
存储模块 （读取）,10.658549835579974
存储模块 （读取）,10.398676021618078
存储模块 （读取）,11.096815644172038
存储模块 （读取）,10.79667069369953
存储模块 （读取）,10.091449283555917
存储模块 （读取）,10.386965412556052
存储模块 （读取）,10.767449263956202
存储模块 （读取）,11.421221291794312
存储模块 （读取）,11.486351401445017
存储模块 （读取）,11.180090018766418
存储模块 （读取）,11.022265211491968
存储模块 （读取）,10.803092753967016
存储模块 （读取）,10.85865454479576
存储模块 （读取）,10.149272235929768
存储模块 （读取）,10.707984924332887
存储模块 （读取）,10.724522165099089
存储模块 （读取）,10.14996692477074
存储模块 （读取）,11.165051213695474
存储模块 （读取）,11.46213224814578
存储模块 （读取）,9.804374035978615
存储模块 （读取）,10.82642004477528
存储模块 （读取）,9.932288236226835
存储模块 （读取）,11.05444080430863
存储模块 （读取）,11.5400361217318
存储模块 （读取）,11.07928782984468
存储模块 （读取）,10.506344269173415
存储模块 （读取）,11.117179368636899
存储模块 （读取）,10.397676303409034
存储模块 （读取）,10.62292296155207
存储模块 （读取）,11.095721008889907
存储模块 （读取）,10.920956851613466
存储模块 （读取）,11.425553280820257
存储模块 （读取）,10.775099568363665
存储模块 （读取）,12.396635652570046
存储模块 （读取）,9.892346786373434
存储模块 （读取）,11.145121717611174
存储模块 （读取）,11.241566817287866
存储模块 （读取）,10.93430695063797
存储模块 （读取）,10.679756064230894
存储模块 （读取）,10.368890297088218
存储模块 （读取）,11.31767684831854
存储模块 （读取）,11.38387145217759
存储模块 （读取）,9.77427673338695
存储模块 （读取）,11.76995774640473
存储模块 （读取）,10.732894480281534
存储模块 （读取）,10.356195526424004
存储模块 （读取）,11.766020583096614
存储模块 （读取）,11.153612899426152
存储模块 （读取）,10.673473139197963
存储模块 （读取）,10.988568937592877
存储模块 （读取）,11.156266153172641
存储模块 （读取）,11.2542037087344
存储模块 （读取）,10.154568959671087
存储模块 （读取）,11.041312816938818
存储模块 （读取）,10.38765257727674
存储模块 （读取）,11.157080111871734
存储模块 （读取）,10.59390298795312
存储模块 （读取）,11.620128370351715
存储模块 （读取）,11.136975994858132
存储模块 （读取）,10.871252662036943
存储模块 （读取）,11.012526609830623
存储模块 （读取）,11.200155541619882
存储模块 （读取）,11.505166267244862
存储模块 （读取）,10.650196053271795
存储模块 （读取）,11.145267415279967
存储模块 （读取）,10.56891338498412
存储模块 （读取）,11.577236923272304
存储模块 （读取）,10.415201997498288
存储模块 （读取）,11.822684183261472
存储模块 （读取）,10.432171439977397
存储模块 （读取）,10.518996567312904
存储模块 （读取）,11.359991030423851
存储模块 （读取）,11.298184272822285
存储模块 （读取）,11.857467350722386
存储模块 （读取）,11.429863292319782
存储模块 （读取）,11.139706862207987
存储模块 （读取）,10.167773084420517
存储模块 （读取）,11.556966476571725
存储模块 （读取）,10.488626755910465
存储模块 （读取）,11.221421791163943
存储模块 （读取）,10.765133180823113
存储模块 （读取）,10.505264098022288
存储模块 （读取）,10.995884430524123
存储模块 （读取）,11.803011948686601
存储模块 （读取）,11.248974448994803
存储模块 （读取）,10.686559240878315
存储模块 （读取）,11.290397321003507
存储模块 （读取）,10.592505245756145
存储模块 （读取）,11.23744463950573
存储模块 （读取）,10.677895300344922
存储模块 （读取）,10.7492955640501
存储模块 （读取）,11.305545115192803
存储模块 （读取）,10.97024370352311
存储模块 （读取）,10.432862669867895
存储模块 （存入）,8.657907427787952
存储模块 （存入）,8.625148598972682
存储模块 （存入）,10.02039004665683
存储模块 （存入）,9.983114105256584
存储模块 （存入）,9.925488998727372
存储模块 （存入）,10.52831480301258
存储模块 （存入）,10.129135626012992
存储模块 （存入）,10.177920504755928
存储模块 （存入）,9.503029924162675
存储模块 （存入）,10.251985206564507
存储模块 （存入）,10.11469134556543
存储模块 （存入）,9.362757379266641
存储模块 （存入）,9.649764828080484
存储模块 （存入）,10.5354681398304
存储模块 （存入）,9.424667683625271
存储模块 （存入）,9.97510858498787
存储模块 （存入）,10.425561793121295
存储模块 （存入）,9.654525547587758
存储模块 （存入）,9.822553571378531
存储模块 （存入）,9.625054521038805
存储模块 （存入）,9.387299116756637
存储模块 （存入）,9.67506663817942
存储模块 （存入）,10.542336207319927
存储模块 （存入）,9.317682640132194
存储模块 （存入）,9.823906326262415
存储模块 （存入）,9.600422367019254
存储模块 （存入）,11.215925133484472
存储模块 （存入）,9.034229916674722
存储模块 （存入）,9.98728303068704
存储模块 （存入）,10.415012175211098
存储模块 （存入）,9.611879118793695
存储模块 （存入）,8.998285083229424
存储模块 （存入）,10.516984494509355
存储模块 （存入）,9.711046298534521
存储模块 （存入）,10.12490751315165
存储模块 （存入）,9.782571601963097
存储模块 （存入）,10.48441834264326
存储模块 （存入）,10.32350191769596
存储模块 （存入）,9.598208429722202
存储模块 （存入）,10.489853716541411
存储模块 （存入）,9.770951395136693
存储模块 （存入）,10.071011807095424
存储模块 （存入）,9.6241489039197
存储模块 （存入）,9.684987498650855
存储模块 （存入）,10.093900448724906
存储模块 （存入）,9.306526783936345
存储模块 （存入）,10.261766324080286
存储模块 （存入）,9.693979500021287
存储模块 （存入）,9.777551023873974
存储模块 （存入）,10.574512863030364
存储模块 （存入）,9.409515087427124
存储模块 （存入）,9.884730492504582
存储模块 （存入）,10.120632980839138
存储模块 （存入）,9.774133892572937
存储模块 （存入）,9.950466350416153
存储模块 （存入）,10.178137465440685
存储模块 （存入）,9.391029491278168
存储模块 （存入）,10.830547378895659
存储模块 （存入）,10.055712746286634
存储模块 （存入）,9.20750188892119
存储模块 （存入）,9.688927548424129
存储模块 （存入）,10.20005297692464
存储模块 （存入）,9.887499452588731
存储模块 （存入）,8.65812948820383
存储模块 （存入）,9.53027124177196
存储模块 （存入）,10.469163969691087
存储模块 （存入）,9.65940420414588
存储模块 （存入）,9.885843001223725
存储模块 （存入）,9.570516939620672
存储模块 （存入）,9.71370642953394
存储模块 （存入）,9.767603213905097
存储模块 （存入）,8.85081261343466
存储模块 （存入）,10.587372120437367
存储模块 （存入）,9.982001990822354
存储模块 （存入）,10.771060018282423
存储模块 （存入）,10.54607871226774
存储模块 （存入）,9.943791315574062
存储模块 （存入）,10.548086863721995
存储模块 （存入）,10.67802531182857
存储模块 （存入）,10.328967943035574
存储模块 （存入）,10.304551860064517
存储模块 （存入）,10.238453501893206
存储模块 （存入）,9.862023460400213
存储模块 （存入）,10.080733651015734
存储模块 （存入）,9.798300644940602
存储模块 （存入）,10.55951804904469
存储模块 （存入）,10.353516469089605
存储模块 （存入）,10.208957947366619
存储模块 （存入）,10.555055787881253
存储模块 （存入）,9.29544891614802
存储模块 （存入）,10.129241808331551
存储模块 （存入）,10.38466091134993
存储模块 （存入）,9.949655393173682
存储模块 （存入）,8.947322103813548
存储模块 （存入）,10.092110240192795
存储模块 （存入）,10.206330275194063
存储模块 （存入）,10.206554754909638
存储模块 （存入）,9.02923005455498
存储模块 （存入）,10.065413014012757
存储模块 （存入）,8.784724744234946
存储模块 （存入）,10.177854962970564
存储模块 （存入）,10.858166095204146
存储模块 （存入）,9.357505482893227
存储模块 （存入）,10.169742666361966
存储模块 （存入）,9.632058827973719
存储模块 （存入）,9.503448489562018
存储模块 （存入）,9.97497878379912
存储模块 （存入）,9.99938790556951
存储模块 （存入）,10.56605182486213
存储模块 （存入）,10.423083387906912
存储模块 （存入）,9.498962088983788
存储模块 （存入）,10.65282794363169
存储模块 （存入）,9.990851867053747
存储模块 （存入）,10.927497981165736
存储模块 （存入）,10.068118366819343
存储模块 （存入）,9.18268964572148
